0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:14:56 +0800] "GET /music_view/album_discover!updateAlbumList.action?albumCondition=%7B%22language%22%3A%22all%22%2C%22genres%22%3A%22all%22%2C%22price%22%3A%22all%22%2C%22category%22%3A%22all%22%2C%22years%22%3A%22all%22%2C%22albumCompany%22%3A%22all%22%7D&pageNo=1 HTTP/1.1" 200 20658
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:14:56 +0800] "GET /music_view/js/album_discover_content.js?_=1507533294132 HTTP/1.1" 200 5308
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:14:56 +0800] "GET /img/icon_sprite.png HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:16:22 +0800] "GET /music_view/ajax!updateNewMusic.action?language=HongKong_And_TaiWan HTTP/1.1" 200 7273
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:16:24 +0800] "GET /music_view/ajax!updateNewMusic.action?language=inland HTTP/1.1" 200 7313
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:16:27 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2422
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:16:27 +0800] "GET /music_view/album.action?albumId=00007xaA3ULioc HTTP/1.1" 200 577239
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:23:23 +0800] "GET /music_view/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:23:23 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2271
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:23:23 +0800] "GET /music_view/index.action HTTP/1.1" 200 601532
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:23:36 +0800] "GET /music_view/css/singer.css HTTP/1.1" 200 6359
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:23:36 +0800] "GET /music_view/js/singer.js HTTP/1.1" 200 4522
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:23:36 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:23:37 +0800] "GET /music_view/singer.action?singerId=000dIIFL1yv5e4 HTTP/1.1" 200 583268
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:23:51 +0800] "GET /music_view/ajax!updateNewMusic.action?language=Japan HTTP/1.1" 200 7656
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:23:57 +0800] "GET /music_view/ajax!validateCode.action?time=time HTTP/1.1" 200 2509
0:0:0:0:0:0:0:1 - - [09/Oct/2017:15:23:57 +0800] "GET /music_view/singer.action?singerId=000dIIFL1yv5e4 HTTP/1.1" 200 583278
